Date,Open,High,Low,Close,Adj Close,Volume
2020-04-29,453.500000,489.100006,451.200012,481.799988,463.772308,7224286
2020-04-30,487.100006,493.100006,436.200012,439.200012,422.766327,6405438
2020-05-01,430.000000,459.100006,429.100006,449.799988,432.969666,2558701
2020-05-04,450.500000,450.500000,415.673004,416.000000,400.434387,5092834
2020-05-05,423.799988,441.700012,420.000000,436.200012,419.878571,9687033
2020-05-06,435.500000,437.100006,424.700012,431.100006,414.969391,43152606
2020-05-07,434.799988,454.299988,433.000000,454.299988,437.301300,6647645
2020-05-11,462.000000,468.440002,426.899994,430.899994,414.776886,3137277
2020-05-12,430.500000,430.500000,413.600006,418.000000,402.359558,7065225
2020-05-13,420.799988,428.100006,403.600006,409.399994,394.081329,6699485
2020-05-14,400.600006,425.000000,399.299988,420.000000,404.284729,5384126
2020-05-15,425.700012,427.799988,407.500000,414.000000,398.509247,3998654
2020-05-18,422.100006,433.000000,422.100006,433.000000,416.798279,3563307
2020-05-19,439.600006,455.299988,426.700012,434.399994,418.145905,4488789
2020-05-20,430.500000,434.500000,416.299988,425.100006,409.193909,4175861
2020-05-21,424.399994,442.200012,417.000000,433.000000,416.798279,4932673
2020-05-22,428.500000,442.600006,420.000000,433.700012,417.472107,10348093
2020-05-26,447.100006,461.600006,442.399994,442.399994,425.846558,4839073
2020-05-27,448.100006,468.700012,444.600006,463.399994,446.060791,5935685
2020-05-28,468.899994,486.799988,467.500000,480.600006,462.617249,4308653
2020-05-29,476.500000,478.401001,452.600006,454.399994,437.397583,12809790
2020-06-01,464.100006,483.100006,460.000000,480.399994,462.424713,2848624
2020-06-02,486.399994,495.100006,472.000000,485.700012,467.526428,5973657
2020-06-03,493.500000,510.399994,489.299988,506.600006,487.644379,6095527
2020-06-04,499.500000,502.799988,476.500000,491.799988,473.398132,5649265
2020-06-05,502.000000,522.599976,491.207001,522.599976,503.045715,6268895
2020-06-08,515.599976,526.200012,510.645996,520.000000,500.542969,3779055
2020-06-09,520.599976,522.200012,487.000000,487.299988,469.066528,5869796
2020-06-10,491.100006,502.399994,472.200012,476.200012,458.381897,6715573
2020-06-11,467.000000,467.980011,434.200012,434.200012,417.953400,7506490
2020-06-12,433.700012,481.500000,427.200012,460.600006,443.365570,5213985
2020-06-15,446.940002,465.399994,439.399994,462.799988,445.483246,11058127
2020-06-16,480.500000,502.200012,470.179993,494.700012,476.189636,5306947
2020-06-17,494.500000,501.200012,482.200012,490.200012,471.858032,4587939
2020-06-18,485.000000,495.000000,477.899994,485.899994,483.449280,3671835
2020-06-19,489.500000,505.600006,483.299988,495.299988,492.801849,9260072
2020-06-22,488.100006,496.299988,480.299988,484.500000,482.056335,11565124
2020-06-23,498.399994,503.000000,476.000000,478.299988,475.887604,3601209
2020-06-24,477.200012,479.500000,460.700012,463.700012,461.361267,3842949
2020-06-25,458.200012,470.399994,451.799988,470.000000,467.629456,4063778
2020-06-26,475.000000,483.299988,466.700012,467.100006,464.744110,3485992
2020-06-29,468.399994,476.700012,456.000000,464.500000,462.157196,5160576
2020-06-30,472.600006,473.899994,463.700012,470.399994,468.027435,4633356
2020-07-01,470.000000,472.700012,446.299988,462.000000,459.669830,3720319
2020-07-02,469.399994,479.399994,463.299988,467.600006,465.241577,2842537
2020-07-03,467.600006,469.299988,456.600006,457.899994,455.590485,1329109
2020-07-06,464.500000,476.899994,462.600006,472.000000,469.619385,3116822
2020-07-07,468.399994,471.899994,449.600006,452.700012,450.416748,3285363
2020-07-08,448.200012,455.700012,445.031006,446.799988,444.546478,3322384
2020-07-09,453.799988,453.799988,431.600006,432.799988,430.617096,4571643
2020-07-10,427.700012,441.899994,425.503998,440.299988,438.079254,3348993
2020-07-13,444.299988,448.799988,433.100006,437.000000,434.795898,2941947
2020-07-14,430.000000,436.299988,419.000000,422.399994,420.269531,4680244
2020-07-15,423.700012,433.899994,412.299988,433.899994,431.711548,6540132
2020-07-16,429.600006,443.412994,429.000000,435.000000,432.806000,4472800
2020-07-17,431.799988,438.799988,425.799988,436.000000,433.800964,4687675
2020-07-20,430.000000,437.115997,422.700012,425.000000,422.856445,3422314
2020-07-21,429.600006,438.600006,426.700012,435.500000,433.303467,3095609
2020-07-22,433.600006,437.000000,422.299988,428.899994,426.736755,2585531
2020-07-23,430.899994,430.899994,406.299988,406.299988,404.250732,7837005
2020-07-24,400.700012,410.200012,393.899994,400.899994,398.877991,7100347
2020-07-27,406.600006,408.100006,389.600006,391.500000,389.525391,3432969
2020-07-28,391.399994,400.100006,388.899994,398.000000,395.992615,4016861
2020-07-29,394.899994,396.500000,385.510986,387.700012,385.744568,3001181
2020-07-30,393.100006,393.100006,375.399994,381.399994,379.476318,4548716
2020-07-31,381.600006,382.335999,369.899994,369.899994,368.034332,6262772
2020-08-03,370.700012,385.000000,363.100006,385.000000,383.058167,3123267
2020-08-04,383.899994,394.544006,366.299988,386.299988,384.351624,3561992
2020-08-05,378.799988,392.799988,378.799988,387.000000,385.048096,5925308
2020-08-06,382.100006,389.100006,379.000000,387.100006,385.147583,3776844
2020-08-07,388.899994,396.299988,382.399994,395.500000,393.505219,3208653
2020-08-10,398.000000,404.899994,395.700012,400.500000,398.480011,2106647
2020-08-11,404.000000,426.100006,403.769989,423.500000,421.364014,3546280
2020-08-12,424.500000,434.100006,415.799988,429.500000,427.333740,3595625
2020-08-13,425.200012,429.000000,421.500000,422.200012,420.070557,3749583
2020-08-14,424.100006,424.100006,404.000000,412.100006,410.021515,2773994
2020-08-17,403.700012,413.700012,399.299988,408.700012,406.638672,2397590
2020-08-18,403.799988,412.700012,401.500000,403.000000,400.967407,2191263
2020-08-19,402.600006,409.399994,399.899994,407.799988,405.743164,1757041
2020-08-20,401.600006,407.000000,399.799988,402.799988,400.768402,2192667
2020-08-21,401.000000,406.500000,398.000000,406.200012,404.151276,2497712
2020-08-24,411.500000,416.299988,399.454987,416.299988,414.200287,1883463
2020-08-25,419.600006,424.000000,401.200012,402.799988,400.768402,2540696
2020-08-26,403.600006,405.700012,398.799988,405.000000,402.957306,2357035
2020-08-27,410.299988,418.600006,403.899994,414.299988,412.210388,3224983
2020-08-28,414.299988,422.399994,409.000000,413.399994,411.314941,4803744
2020-09-01,412.700012,413.399994,389.899994,391.200012,389.226929,4758654
2020-09-02,396.200012,415.899994,396.200012,400.000000,397.982513,5805910
2020-09-03,407.700012,415.500000,396.799988,400.000000,397.982513,5077948
2020-09-04,395.000000,403.500000,391.899994,395.299988,393.306213,3942490
